"","obs_number","time","ID","date_time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","date","hour","weekday","week_of_year"
"2970",41181,"23:20:02","1",2014-03-31 23:20:02.75,NA,NA,NA,NA,251.421999931335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-31,23,"Monday",13
"2971",41182,"23:54:02","1",2014-03-31 23:54:02.951,NA,NA,NA,NA,9.88300013542175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-31,23,"Monday",13
"2972",41183,"23:56:33","1",2014-03-31 23:56:33.701,NA,NA,NA,NA,15.930999994278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-31,23,"Monday",13
"2973",41184,"03:13:38","1",2014-04-01 03:13:38.691,NA,NA,NA,NA,19.2150001525879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,3,"Tuesday",13
"2974",41185,"07:30:01","1",2014-04-01 07:30:01.911,NA,NA,NA,NA,23.5250000953674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,7,"Tuesday",13
"2975",41186,"07:40:02","1",2014-04-01 07:40:02.035,NA,NA,NA,NA,23.1109998226166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,7,"Tuesday",13
"2976",41187,"07:50:01","1",2014-04-01 07:50:01.42,NA,NA,NA,NA,14.2009999752045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,7,"Tuesday",13
"2977",41188,"07:57:44","1",2014-04-01 07:57:44.888,NA,NA,NA,NA,455.276000022888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,7,"Tuesday",13
"2978",41189,"08:05:31","1",2014-04-01 08:05:31.319,NA,NA,NA,NA,497.456000089645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,8,"Tuesday",13
"2979",41190,"08:15:14","1",2014-04-01 08:15:14.996,NA,NA,NA,NA,4.9909999370575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,8,"Tuesday",13
"2980",41191,"08:15:24","1",2014-04-01 08:15:24.157,NA,NA,NA,NA,9.45499992370605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,8,"Tuesday",13
"2981",41192,"08:16:50","1",2014-04-01 08:16:50.911,NA,NA,NA,NA,404.983999967575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,8,"Tuesday",13
"2982",41193,"08:27:29","1",2014-04-01 08:27:29.107,NA,NA,NA,NA,258.530999898911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,8,"Tuesday",13
"2983",41194,"08:33:37","1",2014-04-01 08:33:37.227,NA,NA,NA,NA,155.718000173569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,8,"Tuesday",13
"2984",41195,"08:37:57","1",2014-04-01 08:37:57.204,NA,NA,NA,NA,16.0590000152588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,8,"Tuesday",13
"2985",41196,"08:46:30","1",2014-04-01 08:46:30.092,NA,NA,NA,NA,334.06200003624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,8,"Tuesday",13
"2986",41197,"08:55:00","1",2014-04-01 08:55:00.618,NA,NA,NA,NA,3.34100008010864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,8,"Tuesday",13
"2987",41198,"09:28:20","1",2014-04-01 09:28:20.243,NA,NA,NA,NA,9.99500012397766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,9,"Tuesday",13
"2988",41199,"09:28:36","1",2014-04-01 09:28:36.078,NA,NA,NA,NA,7.48200011253357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,9,"Tuesday",13
"2989",41200,"09:34:28","1",2014-04-01 09:34:28.375,NA,NA,NA,NA,5.85199999809265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,9,"Tuesday",13
"2990",41201,"09:50:08","1",2014-04-01 09:50:08.111,NA,NA,NA,NA,33.1380000114441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,9,"Tuesday",13
"2991",41202,"10:00:03","1",2014-04-01 10:00:03.388,NA,NA,NA,NA,4.25499987602234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"2992",41203,"10:00:12","1",2014-04-01 10:00:12.24,NA,NA,NA,NA,4.15700006484985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"2993",41204,"10:00:20","1",2014-04-01 10:00:20.338,NA,NA,NA,NA,43.9069998264313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"2994",41205,"10:01:06","1",2014-04-01 10:01:06.233,NA,NA,NA,NA,8.22000002861023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"2995",41206,"10:07:20","1",2014-04-01 10:07:20.14,NA,NA,NA,NA,64.5929999351501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"2996",41207,"10:10:51","1",2014-04-01 10:10:51.131,NA,NA,NA,NA,7.22399997711182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"2997",41208,"10:21:26","1",2014-04-01 10:21:26.04,NA,NA,NA,NA,24.4180002212524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"2998",41209,"10:27:03","1",2014-04-01 10:27:03.046,NA,NA,NA,NA,35.614000082016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"2999",41210,"10:27:46","1",2014-04-01 10:27:46.579,NA,NA,NA,NA,79.4980001449585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3000",41211,"10:32:25","1",2014-04-01 10:32:25.02,NA,NA,NA,NA,4.2960000038147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3001",41212,"10:37:54","1",2014-04-01 10:37:54.743,NA,NA,NA,NA,27.3589999675751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3002",41213,"10:39:50","1",2014-04-01 10:39:50.98,NA,NA,NA,NA,2.08100008964539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3003",41214,"10:49:56","1",2014-04-01 10:49:56.338,NA,NA,NA,NA,1.60999989509583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3004",41215,"10:50:02","1",2014-04-01 10:50:02.026,NA,NA,NA,NA,1.17000007629395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3005",41216,"10:55:47","1",2014-04-01 10:55:47.581,NA,NA,NA,NA,24.5360000133514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3006",41217,"10:56:14","1",2014-04-01 10:56:14.2,NA,NA,NA,NA,22.0390000343323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3007",41218,"10:57:04","1",2014-04-01 10:57:04.155,NA,NA,NA,NA,34.1840000152588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3008",41219,"10:57:56","1",2014-04-01 10:57:56.111,NA,NA,NA,NA,2.41299986839294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3009",41220,"10:58:42","1",2014-04-01 10:58:42.176,NA,NA,NA,NA,103.603999853134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,10,"Tuesday",13
"3010",41221,"11:00:36","1",2014-04-01 11:00:36.423,NA,NA,NA,NA,7.08200001716614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3011",41222,"11:00:48","1",2014-04-01 11:00:48.877,NA,NA,NA,NA,11.6029999256134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3012",41223,"11:01:24","1",2014-04-01 11:01:24.707,NA,NA,NA,NA,178.87700009346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3013",41224,"11:04:25","1",2014-04-01 11:04:25.996,NA,NA,NA,NA,23.8380000591278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3014",41225,"11:06:11","1",2014-04-01 11:06:11.019,NA,NA,NA,NA,126.006999969482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3015",41226,"11:23:05","1",2014-04-01 11:23:05.927,NA,NA,NA,NA,25.9530000686646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3016",41227,"11:24:08","1",2014-04-01 11:24:08.453,NA,NA,NA,NA,24.1849999427795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3017",41228,"11:26:19","1",2014-04-01 11:26:19.497,NA,NA,NA,NA,312.662000179291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3018",41229,"11:33:04","1",2014-04-01 11:33:04.605,NA,NA,NA,NA,185.071000099182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3019",41230,"11:37:05","1",2014-04-01 11:37:05.303,NA,NA,NA,NA,303.392000198364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3020",41231,"11:42:37","1",2014-04-01 11:42:37.72,NA,NA,NA,NA,10.2190001010895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3021",41232,"11:43:29","1",2014-04-01 11:43:29.78,NA,NA,NA,NA,205.203999996185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3022",41233,"11:47:50","1",2014-04-01 11:47:50.391,NA,NA,NA,NA,536.489000082016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3023",41234,"11:57:30","1",2014-04-01 11:57:30.63,NA,NA,NA,NA,24.1049997806549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3024",41235,"11:58:34","1",2014-04-01 11:58:34.944,NA,NA,NA,NA,7.37100005149841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3025",41236,"11:59:39","1",2014-04-01 11:59:39.246,NA,NA,NA,NA,9.02499985694885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3026",41237,"11:59:59","1",2014-04-01 11:59:59.006,NA,NA,NA,NA,12.816999912262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,11,"Tuesday",13
"3027",41238,"12:00:13","1",2014-04-01 12:00:13.084,NA,NA,NA,NA,87.4009997844696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3028",41239,"12:01:53","1",2014-04-01 12:01:53.601,NA,NA,NA,NA,190.769999980927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3029",41240,"12:05:11","1",2014-04-01 12:05:11.187,NA,NA,NA,NA,63.2590000629425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3030",41241,"12:06:22","1",2014-04-01 12:06:22.069,NA,NA,NA,NA,9.47900009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3031",41242,"12:06:55","1",2014-04-01 12:06:55.599,NA,NA,NA,NA,9.90900015830994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3032",41243,"12:07:07","1",2014-04-01 12:07:07.849,NA,NA,NA,NA,9.72300004959106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3033",41244,"12:12:27","1",2014-04-01 12:12:27.88,NA,NA,NA,NA,268.114999771118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3034",41245,"12:17:07","1",2014-04-01 12:17:07.368,NA,NA,NA,NA,31.2230000495911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3035",41246,"12:18:09","1",2014-04-01 12:18:09.882,NA,NA,NA,NA,6.9300000667572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3036",41247,"12:18:19","1",2014-04-01 12:18:19.165,NA,NA,NA,NA,53.9060001373291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3037",41248,"12:19:25","1",2014-04-01 12:19:25.463,NA,NA,NA,NA,2.53499984741211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3038",41249,"12:19:36","1",2014-04-01 12:19:36.5,NA,NA,NA,NA,29.3010001182556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3039",41250,"12:20:15","1",2014-04-01 12:20:15.783,NA,NA,NA,NA,26.4409999847412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3040",41251,"12:21:11","1",2014-04-01 12:21:11.499,NA,NA,NA,NA,1371.26699995995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3041",41252,"12:49:14","1",2014-04-01 12:49:14.325,NA,NA,NA,NA,289.884999990463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3042",41253,"12:54:25","1",2014-04-01 12:54:25.507,NA,NA,NA,NA,5.9850001335144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3043",41254,"12:55:01","1",2014-04-01 12:55:01.881,NA,NA,NA,NA,71.0350000858307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3044",41255,"12:56:53","1",2014-04-01 12:56:53.798,NA,NA,NA,NA,33.9749999046326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3045",41256,"12:59:26","1",2014-04-01 12:59:26.53,NA,NA,NA,NA,894.902000188828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,12,"Tuesday",13
"3046",41257,"13:14:21","1",2014-04-01 13:14:21.951,NA,NA,NA,NA,9.89200019836426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,13,"Tuesday",13
"3047",41258,"13:15:11","1",2014-04-01 13:15:11.513,NA,NA,NA,NA,248.565999984741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,13,"Tuesday",13
"3048",41259,"13:32:18","1",2014-04-01 13:32:18.552,NA,NA,NA,NA,18.7779998779297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,13,"Tuesday",13
"3049",41260,"13:33:21","1",2014-04-01 13:33:21,NA,NA,NA,NA,622.462000131607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,13,"Tuesday",13
"3050",41261,"13:43:47","1",2014-04-01 13:43:47.482,NA,NA,NA,NA,38.9789998531342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,13,"Tuesday",13
"3051",41262,"13:51:25","1",2014-04-01 13:51:25.68,NA,NA,NA,NA,6.81500005722046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,13,"Tuesday",13
"3052",41263,"13:52:33","1",2014-04-01 13:52:33.299,NA,NA,NA,NA,2.3970000743866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,13,"Tuesday",13
"3053",41264,"13:57:31","1",2014-04-01 13:57:31.313,NA,NA,NA,NA,1.77900004386902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,13,"Tuesday",13
"3054",41265,"13:57:48","1",2014-04-01 13:57:48.171,NA,NA,NA,NA,550.021000146866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,13,"Tuesday",13
"3055",41266,"14:08:34","1",2014-04-01 14:08:34.013,NA,NA,NA,NA,16.9189999103546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3056",41267,"14:12:49","1",2014-04-01 14:12:49.348,NA,NA,NA,NA,9.67199993133545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3057",41268,"14:13:36","1",2014-04-01 14:13:36.757,NA,NA,NA,NA,9.75600004196167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3058",41269,"14:15:20","1",2014-04-01 14:15:20.367,NA,NA,NA,NA,15.3479998111725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3059",41270,"14:28:24","1",2014-04-01 14:28:24.371,NA,NA,NA,NA,9.61299991607666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3060",41271,"14:40:13","1",2014-04-01 14:40:13.334,NA,NA,NA,NA,14.2569999694824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3061",41272,"14:40:52","1",2014-04-01 14:40:52.865,NA,NA,NA,NA,21.3980000019073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3062",41273,"14:41:41","1",2014-04-01 14:41:41.239,NA,NA,NA,NA,5.32699990272522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3063",41274,"14:43:11","1",2014-04-01 14:43:11.046,NA,NA,NA,NA,4.76799988746643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3064",41275,"14:55:55","1",2014-04-01 14:55:55.029,NA,NA,NA,NA,9.31399989128113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,14,"Tuesday",13
"3065",41276,"15:11:42","1",2014-04-01 15:11:42.336,NA,NA,NA,NA,35.3610000610352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,15,"Tuesday",13
"3066",41277,"15:40:32","1",2014-04-01 15:40:32.559,NA,NA,NA,NA,84.4730000495911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,15,"Tuesday",13
"3067",41278,"15:41:59","1",2014-04-01 15:41:59.664,NA,NA,NA,NA,14.2699999809265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,15,"Tuesday",13
"3068",41279,"15:47:07","1",2014-04-01 15:47:07.24,NA,NA,NA,NA,25.1960000991821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,15,"Tuesday",13
"3069",41280,"15:49:35","1",2014-04-01 15:49:35.118,NA,NA,NA,NA,29.8919999599457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,15,"Tuesday",13
"3070",41281,"15:50:09","1",2014-04-01 15:50:09.194,NA,NA,NA,NA,9.3989999294281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,15,"Tuesday",13
"3071",41282,"15:52:38","1",2014-04-01 15:52:38.585,NA,NA,NA,NA,31.4279999732971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,15,"Tuesday",13
"3072",41283,"17:25:37","1",2014-04-01 17:25:37.309,NA,NA,NA,NA,137.789000034332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3073",41284,"17:32:37","1",2014-04-01 17:32:37.296,NA,NA,NA,NA,30.9179999828339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3074",41285,"17:34:16","1",2014-04-01 17:34:16.971,NA,NA,NA,NA,58.5010001659393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3075",41286,"17:36:56","1",2014-04-01 17:36:56.016,NA,NA,NA,NA,1.53999996185303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3076",41287,"17:38:31","1",2014-04-01 17:38:31.003,NA,NA,NA,NA,8.73800015449524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3077",41288,"17:40:06","1",2014-04-01 17:40:06.571,NA,NA,NA,NA,21.7730000019073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3078",41289,"17:45:22","1",2014-04-01 17:45:22.068,NA,NA,NA,NA,49.0230000019073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3079",41290,"17:49:40","1",2014-04-01 17:49:40.986,NA,NA,NA,NA,48.2349998950958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3080",41291,"17:50:33","1",2014-04-01 17:50:33.105,NA,NA,NA,NA,121.091000080109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3081",41292,"17:57:00","1",2014-04-01 17:57:00.759,NA,NA,NA,NA,27.0889999866486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3082",41293,"17:59:49","1",2014-04-01 17:59:49.888,NA,NA,NA,NA,2.81900000572205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,17,"Tuesday",13
"3083",41294,"18:02:17","1",2014-04-01 18:02:17.203,NA,NA,NA,NA,11.4509999752045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,18,"Tuesday",13
"3084",41295,"18:12:17","1",2014-04-01 18:12:17.384,NA,NA,NA,NA,1.55999994277954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,18,"Tuesday",13
"3085",41296,"18:24:01","1",2014-04-01 18:24:01.673,NA,NA,NA,NA,1.43400001525879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,18,"Tuesday",13
"3086",41297,"18:25:20","1",2014-04-01 18:25:20.463,NA,NA,NA,NA,1.33800005912781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,18,"Tuesday",13
"3087",41298,"18:27:15","1",2014-04-01 18:27:15.273,NA,NA,NA,NA,2.7720000743866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,18,"Tuesday",13
"3088",41299,"18:58:30","1",2014-04-01 18:58:30.315,NA,NA,NA,NA,31.7650001049042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,18,"Tuesday",13
"3089",41300,"19:13:01","1",2014-04-01 19:13:01.569,NA,NA,NA,NA,102.428999900818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,19,"Tuesday",13
"3090",41301,"19:23:25","1",2014-04-01 19:23:25.395,NA,NA,NA,NA,90.4790000915527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,19,"Tuesday",13
"3091",41302,"19:25:10","1",2014-04-01 19:25:10.092,NA,NA,NA,NA,2.47699999809265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,19,"Tuesday",13
"3092",41303,"19:25:27","1",2014-04-01 19:25:27.668,NA,NA,NA,NA,112.588999986649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,19,"Tuesday",13
"3093",41304,"19:33:01","1",2014-04-01 19:33:01.539,NA,NA,NA,NA,1475.5759999752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,19,"Tuesday",13
"3094",41305,"19:59:08","1",2014-04-01 19:59:08.105,NA,NA,NA,NA,68.8159999847412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-01,19,"Tuesday",13
